ID: 1, Force=3.11005e-10
ID: 2, Force=2.30144e-08
ID: 3, Force=2.30144e-08
ID: 4, Force=1.15072e-08
ID: 5, Force=1.15072e-08
ID: 6, Force=4.60288e-09
ID: 7, Force=1.15072e-08
ID: 8, Force=1.15072e-08
ID: 9, Force=4.60288e-09
ID: 10, Force=4.60288e-09
ID: 11, Force=1.15072e-08
ID: 12, Force=1.15072e-08
ID: 13, Force=2.8768e-09
ID: 14, Force=2.30144e-08
ID: 15, Force=2.30144e-08
ID: 16, Force=2.30144e-09
ID: 17, Force=1.15072e-08
ID: 18, Force=1.15072e-08
ID: 19, Force=4.60288e-09
ID: 20, Force=2.30144e-08
ID: 21, Force=2.30144e-08
ID: 22, Force=1.15072e-08
ID: 23, Force=1.15072e-08
ID: 24, Force=4.60288e-09
ID: 25, Force=1.15072e-08
ID: 26, Force=2.55716e-11
ID: 27, Force=-1
ID: 28, Force=-1
ID: 29, Force=-1
ID: 30, Force=-1
ID: 31, Force=-1
ID: 32, Force=-1
ID: 33, Force=-1
ID: 34, Force=-1
ID: 35, Force=3.11005e-10
ID: 36, Force=-1
ID: 37, Force=-1
ID: 38, Force=-1
ID: 39, Force=-1
ID: 40, Force=-1
ID: 41, Force=-1
ID: 42, Force=-1
ID: 43, Force=-1
ID: 44, Force=-1
ID: 45, Force=-1
ID: 46, Force=-1
ID: 47, Force=-1
ID: 48, Force=-1
ID: 49, Force=-1
ID: 50, Force=-1
ID: 51, Force=-1
ID: 52, Force=-1
ID: 53, Force=-1
ID: 54, Force=-1
ID: 55, Force=-1
ID: 56, Force=-1
ID: 57, Force=-1
ID: 58, Force=-1
ID: 59, Force=3.596e-10
ID: 60, Force=-1
ID: 61, Force=7.936e-10
ID: 62, Force=1.77034e-09
ID: 63, Force=-1
ID: 64, Force=-1
ID: 65, Force=-1
ID: 66, Force=3.15266e-10
ID: 67, Force=4.77477e-11
ID: 68, Force=3.11005e-10
ID: 69, Force=-1
ID: 70, Force=-1
ID: 71, Force=-1
ID: 72, Force=-1
ID: 73, Force=-1
ID: 74, Force=-1
ID: 75, Force=-1
ID: 76, Force=-1
ID: 77, Force=-1
ID: 78, Force=-1
ID: 79, Force=-1
ID: 80, Force=-1
ID: 81, Force=-1
ID: 82, Force=-1
ID: 83, Force=-1
ID: 84, Force=-1
ID: 85, Force=-1
ID: 86, Force=-1
ID: 87, Force=-1
ID: 88, Force=-1
ID: 89, Force=-1
ID: 90, Force=-1
ID: 91, Force=-1
ID: 92, Force=-1
ID: 93, Force=-1
ID: 94, Force=-1
ID: 95, Force=-1
ID: 96, Force=-1
ID: 97, Force=-1
ID: 98, Force=-1
ID: 99, Force=-1
ID: 100, Force=-1
