Function for mode=1 took 1 microseconds.
ID: 1, Force=4.60288e-09
ID: 2, Force=2.30144e-08
ID: 3, Force=2.30144e-08
ID: 4, Force=1.15072e-08
ID: 5, Force=1.15072e-08
ID: 6, Force=4.60288e-09
ID: 7, Force=1.15072e-08
ID: 8, Force=1.15072e-08
ID: 9, Force=4.60288e-09
ID: 10, Force=4.60288e-09
ID: 11, Force=1.15072e-08
ID: 12, Force=1.15072e-08
ID: 13, Force=2.8768e-09
ID: 14, Force=2.30144e-08
ID: 15, Force=2.30144e-08
ID: 16, Force=2.30144e-09
ID: 17, Force=1.15072e-08
ID: 18, Force=1.15072e-08
ID: 19, Force=4.60288e-09
ID: 20, Force=2.30144e-08
ID: 21, Force=2.30144e-08
ID: 22, Force=1.15072e-08
ID: 23, Force=1.15072e-08
ID: 24, Force=4.60288e-09
ID: 25, Force=1.15072e-08
ID: 26, Force=1.15072e-08
ID: 27, Force=4.60288e-09
ID: 28, Force=4.60288e-09
ID: 29, Force=1.15072e-08
ID: 30, Force=1.15072e-08
ID: 31, Force=2.8768e-09
ID: 32, Force=2.30144e-08
ID: 33, Force=2.30144e-08
ID: 34, Force=2.30144e-09
ID: 35, Force=1.15072e-08
ID: 36, Force=1.15072e-08
ID: 37, Force=4.60288e-09
ID: 38, Force=2.30144e-08
ID: 39, Force=2.30144e-08
ID: 40, Force=1.15072e-08
ID: 41, Force=1.15072e-08
ID: 42, Force=4.60288e-09
ID: 43, Force=1.15072e-08
ID: 44, Force=1.15072e-08
ID: 45, Force=4.60288e-09
ID: 46, Force=4.60288e-09
ID: 47, Force=1.15072e-08
ID: 48, Force=1.15072e-08
ID: 49, Force=2.8768e-09
ID: 50, Force=2.30144e-08
ID: 51, Force=2.30144e-08
ID: 52, Force=2.30144e-09
ID: 53, Force=1.15072e-08
ID: 54, Force=1.15072e-08
ID: 55, Force=4.60288e-09
ID: 56, Force=2.30144e-08
ID: 57, Force=2.30144e-08
ID: 58, Force=1.15072e-08
ID: 59, Force=1.15072e-08
ID: 60, Force=4.60288e-09
ID: 61, Force=1.15072e-08
ID: 62, Force=1.15072e-08
ID: 63, Force=4.60288e-09
ID: 64, Force=4.60288e-09
ID: 65, Force=1.15072e-08
ID: 66, Force=1.15072e-08
ID: 67, Force=2.8768e-09
ID: 68, Force=2.30144e-08
ID: 69, Force=2.30144e-08
ID: 70, Force=2.30144e-09
ID: 71, Force=1.15072e-08
ID: 72, Force=1.15072e-08
ID: 73, Force=4.60288e-09
ID: 74, Force=2.30144e-08
ID: 75, Force=2.30144e-08
ID: 76, Force=1.15072e-08
ID: 77, Force=1.15072e-08
ID: 78, Force=4.60288e-09
ID: 79, Force=1.15072e-08
ID: 80, Force=1.15072e-08
ID: 81, Force=4.60288e-09
ID: 82, Force=4.60288e-09
ID: 83, Force=1.15072e-08
ID: 84, Force=1.15072e-08
ID: 85, Force=2.8768e-09
ID: 86, Force=2.30144e-08
ID: 87, Force=2.30144e-08
ID: 88, Force=2.30144e-09
ID: 89, Force=1.15072e-08
ID: 90, Force=1.15072e-08
ID: 91, Force=4.60288e-09
ID: 92, Force=2.30144e-08
ID: 93, Force=2.30144e-08
ID: 94, Force=1.15072e-08
ID: 95, Force=1.15072e-08
ID: 96, Force=4.60288e-09
ID: 97, Force=1.15072e-08
ID: 98, Force=1.15072e-08
ID: 99, Force=4.60288e-09
ID: 100, Force=3.11005e-10
